name,wins,year
Abdullah Avcı,3,2005
Adnan Şentürk,3,2005
Ahmet Arıboğan,3,2005
Ahmet Asena,3,2005
Ahmet Ziya Yüce,3,2005
Akın Barhan,3,2005
Abdullah Avcı,3,2006
Adnan Şentürk,3,2006
Ahmet Arıboğan,3,2006
Ahmet Asena,3,2006
Ahmet Ziya Yüce,3,2006
Akın Barhan,3,2006
Abdullah Avcı,3,2007
Adnan Şentürk,3,2007
Ahmet Arıboğan,3,2007
Ahmet Asena,3,2007
Ahmet Ziya Yüce,3,2007
Akın Barhan,3,2007
Adnan Şentürk,3,2008
Ahmet Arıboğan,3,2008
Ahmet Asena,3,2008
Ahmet Ziya Yüce,3,2008
Akın Barhan,3,2008
Adnan Şentürk,3,2009
Ahmet Arıboğan,3,2009
Ahmet Asena,3,2009
Ahmet Ziya Yüce,3,2009
Akın Barhan,3,2009
Adnan Şentürk,3,2010
Ahmet Arıboğan,3,2010
Ahmet Asena,3,2010
Ahmet Ziya Yüce,3,2010
Akın Barhan,3,2010
Adnan Şentürk,3,2011
Ahmet Arıboğan,3,2011
Ahmet Asena,3,2011
Ahmet Ziya Yüce,3,2011
Akın Barhan,3,2011
Adnan Şentürk,3,2012
Ahmet Arıboğan,3,2012
Ahmet Asena,3,2012
Ahmet Ziya Yüce,3,2012
Akın Barhan,3,2012
Adnan Şentürk,3,2013
Ahmet Arıboğan,3,2013
Ahmet Asena,3,2013
Ahmet Ziya Yüce,3,2013
Akın Barhan,3,2013
Adnan Şentürk,3,2014
Ahmet Arıboğan,3,2014
Ahmet Asena,3,2014
Ahmet Ziya Yüce,3,2014
Akın Barhan,3,2014
Adnan Şentürk,3,2015
Ahmet Arıboğan,3,2015
Ahmet Asena,3,2015
Ahmet Ziya Yüce,3,2015
Akın Barhan,3,2015
Adnan Şentürk,3,2016
Ahmet Arıboğan,3,2016
Ahmet Asena,3,2016
Ahmet Ziya Yüce,3,2016
Akın Barhan,3,2016
Adnan Şentürk,3,2017
Ahmet Arıboğan,3,2017
Ahmet Asena,3,2017
Ahmet Ziya Yüce,3,2017
Akın Barhan,3,2017
Adnan Şentürk,3,2018
Ahmet Arıboğan,3,2018
Ahmet Asena,3,2018
Ahmet Ziya Yüce,3,2018
Akın Barhan,3,2018
Adnan Şentürk,3,2019
Ahmet Arıboğan,3,2019
Ahmet Asena,3,2019
Ahmet Ziya Yüce,3,2019
